"","sex_orig","rgn","doryr","total"
"1",1,"E12000001","2018",13874
"2",1,"E12000001","2019",13942
"3",1,"E12000001","2020",16034
"4",1,"E12000001","2021",15305
"5",1,"E12000001","2022",15307
"6",1,"E12000001","2023",242
"7",1,"E12000002","2018",35252
"8",1,"E12000002","2019",35871
"9",1,"E12000002","2020",42525
"10",1,"E12000002","2021",40514
"11",1,"E12000002","2022",40025
"12",1,"E12000002","2023",596
"13",1,"E12000003","2018",25824
"14",1,"E12000003","2019",26213
"15",1,"E12000003","2020",30556
"16",1,"E12000003","2021",28429
"17",1,"E12000003","2022",28982
"18",1,"E12000003","2023",421
"19",1,"E12000004","2018",22670
"20",1,"E12000004","2019",22559
"21",1,"E12000004","2020",26424
"22",1,"E12000004","2021",25963
"23",1,"E12000004","2022",25379
"24",1,"E12000004","2023",382
"25",1,"E12000005","2018",27612
"26",1,"E12000005","2019",27368
"27",1,"E12000005","2020",32962
"28",1,"E12000005","2021",31634
"29",1,"E12000005","2022",30437
"30",1,"E12000005","2023",378
"31",1,"E12000006","2018",28677
"32",1,"E12000006","2019",28185
"33",1,"E12000006","2020",32095
"34",1,"E12000006","2021",32134
"35",1,"E12000006","2022",31160
"36",1,"E12000006","2023",431
"37",1,"E12000007","2018",25269
"38",1,"E12000007","2019",24938
"39",1,"E12000007","2020",31034
"40",1,"E12000007","2021",29771
"41",1,"E12000007","2022",26714
"42",1,"E12000007","2023",383
"43",1,"E12000008","2018",39721
"44",1,"E12000008","2019",40069
"45",1,"E12000008","2020",45236
"46",1,"E12000008","2021",45577
"47",1,"E12000008","2022",44050
"48",1,"E12000008","2023",560
"49",1,"E12000009","2018",28182
"50",1,"E12000009","2019",28021
"51",1,"E12000009","2020",30490
"52",1,"E12000009","2021",30770
"53",1,"E12000009","2022",31766
"54",1,"E12000009","2023",413
"55",1,"W99999999","2018",16953
"56",1,"W99999999","2019",16552
"57",1,"W99999999","2020",18696
"58",1,"W99999999","2021",18393
"59",1,"W99999999","2022",17882
"60",1,"W99999999","2023",289
"61",2,"E12000001","2018",14175
"62",2,"E12000001","2019",14038
"63",2,"E12000001","2020",16037
"64",2,"E12000001","2021",15076
"65",2,"E12000001","2022",14817
"66",2,"E12000001","2023",287
"67",2,"E12000002","2018",36132
"68",2,"E12000002","2019",35761
"69",2,"E12000002","2020",41317
"70",2,"E12000002","2021",38595
"71",2,"E12000002","2022",38574
"72",2,"E12000002","2023",693
"73",2,"E12000003","2018",26623
"74",2,"E12000003","2019",26174
"75",2,"E12000003","2020",29728
"76",2,"E12000003","2021",27797
"77",2,"E12000003","2022",28266
"78",2,"E12000003","2023",430
"79",2,"E12000004","2018",22964
"80",2,"E12000004","2019",22689
"81",2,"E12000004","2020",25497
"82",2,"E12000004","2021",24605
"83",2,"E12000004","2022",24489
"84",2,"E12000004","2023",435
"85",2,"E12000005","2018",28061
"86",2,"E12000005","2019",26971
"87",2,"E12000005","2020",31553
"88",2,"E12000005","2021",30072
"89",2,"E12000005","2022",29419
"90",2,"E12000005","2023",476
"91",2,"E12000006","2018",29358
"92",2,"E12000006","2019",28849
"93",2,"E12000006","2020",31614
"94",2,"E12000006","2021",31615
"95",2,"E12000006","2022",30703
"96",2,"E12000006","2023",442
"97",2,"E12000007","2018",24522
"98",2,"E12000007","2019",23911
"99",2,"E12000007","2020",28248
"100",2,"E12000007","2021",27509
"101",2,"E12000007","2022",25349
"102",2,"E12000007","2023",423
"103",2,"E12000008","2018",41889
"104",2,"E12000008","2019",40974
"105",2,"E12000008","2020",45721
"106",2,"E12000008","2021",44944
"107",2,"E12000008","2022",44311
"108",2,"E12000008","2023",635
"109",2,"E12000009","2018",28948
"110",2,"E12000009","2019",28094
"111",2,"E12000009","2020",30576
"112",2,"E12000009","2021",30434
"113",2,"E12000009","2022",30954
"114",2,"E12000009","2023",437
"115",2,"W99999999","2018",17031
"116",2,"W99999999","2019",16493
"117",2,"W99999999","2020",18506
"118",2,"W99999999","2021",17877
"119",2,"W99999999","2022",17824
"120",2,"W99999999","2023",321
"121",3,"E12000001","2018",1
"122",3,"E12000001","2020",1
"123",3,"E12000001","2021",1
"124",3,"E12000002","2018",1
"125",3,"E12000002","2019",3
"126",3,"E12000002","2020",6
"127",3,"E12000002","2021",2
"128",3,"E12000002","2022",2
"129",3,"E12000003","2018",1
"130",3,"E12000003","2019",2
"131",3,"E12000003","2020",1
"132",3,"E12000003","2021",2
"133",3,"E12000003","2022",4
"134",3,"E12000004","2018",2
"135",3,"E12000004","2019",2
"136",3,"E12000004","2021",2
"137",3,"E12000004","2022",2
"138",3,"E12000005","2018",6
"139",3,"E12000005","2019",2
"140",3,"E12000005","2020",4
"141",3,"E12000005","2021",3
"142",3,"E12000006","2021",2
"143",3,"E12000006","2022",5
"144",3,"E12000007","2018",1
"145",3,"E12000007","2019",1
"146",3,"E12000007","2020",2
"147",3,"E12000007","2022",1
"148",3,"E12000008","2018",3
"149",3,"E12000008","2019",1
"150",3,"E12000008","2021",3
"151",3,"E12000008","2022",2
"152",3,"E12000009","2019",1
"153",3,"E12000009","2021",1
"154",3,"E12000009","2022",1
